commodity,commodity_type,price,market,state,district,date
Rice,Cereals,58.89,Wholesale Market,National Average,All,2025-05-19
Rice,Cereals,65.62,Government Market,National Average,All,2025-05-19
Rice,Cereals,72.96,Local Market,National Average,All,2025-05-18
Rice,Cereals,59.95,Wholesale Market,National Average,All,2025-05-18
Rice,Cereals,67.28,Government Market,National Average,All,2025-05-18
Rice,Cereals,73.55,Local Market,National Average,All,2025-05-17
Rice,Cereals,61.97,Wholesale Market,National Average,All,2025-05-17
Rice,Cereals,67.75,Government Market,National Average,All,2025-05-17
Rice,Cereals,70.76,Local Market,National Average,All,2025-05-16
Rice,Cereals,56.71,Wholesale Market,National Average,All,2025-05-16
Rice,Cereals,64.45,Government Market,National Average,All,2025-05-16
Rice,Cereals,66.34,Local Market,National Average,All,2025-05-15
Rice,Cereals,53.68,Wholesale Market,National Average,All,2025-05-15
Rice,Cereals,60.56,Government Market,National Average,All,2025-05-15
Rice,Cereals,69.5,Local Market,National Average,All,2025-05-14
Rice,Cereals,57.33,Wholesale Market,National Average,All,2025-05-14
Rice,Cereals,62.15,Government Market,National Average,All,2025-05-14
Rice,Cereals,66.71,Local Market,National Average,All,2025-05-13
Rice,Cereals,53.96,Wholesale Market,National Average,All,2025-05-13
Rice,Cereals,60.25,Government Market,National Average,All,2025-05-13
Rice,Cereals,67.02,Local Market,National Average,All,2025-05-12
Rice,Cereals,55.73,Wholesale Market,National Average,All,2025-05-12
Rice,Cereals,62.74,Government Market,National Average,All,2025-05-12
Rice,Cereals,70.3,Local Market,National Average,All,2025-05-11
Rice,Cereals,57.11,Wholesale Market,National Average,All,2025-05-11
Rice,Cereals,62.84,Government Market,National Average,All,2025-05-11
Rice,Cereals,67.33,Local Market,National Average,All,2025-05-10
Rice,Cereals,55.16,Wholesale Market,National Average,All,2025-05-10
Rice,Cereals,60.65,Government Market,National Average,All,2025-05-10
Rice,Cereals,71.24,Local Market,National Average,All,2025-05-09
Rice,Cereals,58.36,Wholesale Market,National Average,All,2025-05-09
Rice,Cereals,64.5,Government Market,National Average,All,2025-05-09
Rice,Cereals,72.79,Local Market,National Average,All,2025-05-08
Rice,Cereals,59.57,Wholesale Market,National Average,All,2025-05-08
Rice,Cereals,66.1,Government Market,National Average,All,2025-05-08
Rice,Cereals,73.77,Local Market,National Average,All,2025-05-07
Rice,Cereals,59.92,Wholesale Market,National Average,All,2025-05-07
Rice,Cereals,66.89,Government Market,National Average,All,2025-05-07
Rice,Cereals,72.63,Local Market,National Average,All,2025-05-06
Rice,Cereals,58.35,Wholesale Market,National Average,All,2025-05-06
Rice,Cereals,66.65,Government Market,National Average,All,2025-05-06
Rice,Cereals,74.56,Local Market,National Average,All,2025-05-05
Rice,Cereals,60.5,Wholesale Market,National Average,All,2025-05-05
Rice,Cereals,67.54,Government Market,National Average,All,2025-05-05
Basmati Rice,Cereals,133.48,Local Market,National Average,All,2025-07-03
Basmati Rice,Cereals,110.35,Wholesale Market,National Average,All,2025-07-03
Basmati Rice,Cereals,123.83,Government Market,National Average,All,2025-07-03
Basmati Rice,Cereals,135.24,Local Market,National Average,All,2025-07-02
Basmati Rice,Cereals,112.2,Wholesale Market,National Average,All,2025-07-02
Basmati Rice,Cereals,123.3,Government Market,National Average,All,2025-07-02
Basmati Rice,Cereals,135.44,Local Market,National Average,All,2025-07-01
Basmati Rice,Cereals,109.25,Wholesale Market,National Average,All,2025-07-01
Basmati Rice,Cereals,123.72,Government Market,National Average,All,2025-07-01
Basmati Rice,Cereals,137.74,Local Market,National Average,All,2025-06-30
Basmati Rice,Cereals,111.32,Wholesale Market,National Average,All,2025-06-30
Basmati Rice,Cereals,125.38,Government Market,National Average,All,2025-06-30
Basmati Rice,Cereals,143.65,Local Market,National Average,All,2025-06-29
Basmati Rice,Cereals,116.57,Wholesale Market,National Average,All,2025-06-29
Basmati Rice,Cereals,127.38,Government Market,National Average,All,2025-06-29
Basmati Rice,Cereals,144.43,Local Market,National Average,All,2025-06-28
Basmati Rice,Cereals,117.73,Wholesale Market,National Average,All,2025-06-28
Basmati Rice,Cereals,130.32,Government Market,National Average,All,2025-06-28
Basmati Rice,Cereals,142.27,Local Market,National Average,All,2025-06-27
Basmati Rice,Cereals,117.53,Wholesale Market,National Average,All,2025-06-27
Basmati Rice,Cereals,129.57,Government Market,National Average,All,2025-06-27
Basmati Rice,Cereals,148.18,Local Market,National Average,All,2025-06-26
Basmati Rice,Cereals,120.49,Wholesale Market,National Average,All,2025-06-26
Basmati Rice,Cereals,135.73,Government Market,National Average,All,2025-06-26
Basmati Rice,Cereals,145.27,Local Market,National Average,All,2025-06-25
Basmati Rice,Cereals,118.97,Wholesale Market,National Average,All,2025-06-25
Basmati Rice,Cereals,129.17,Government Market,National Average,All,2025-06-25
Basmati Rice,Cereals,139.38,Local Market,National Average,All,2025-06-24
Basmati Rice,Cereals,117.75,Wholesale Market,National Average,All,2025-06-24
Basmati Rice,Cereals,127.92,Government Market,National Average,All,2025-06-24
Basmati Rice,Cereals,142.12,Local Market,National Average,All,2025-06-23
Basmati Rice,Cereals,117.24,Wholesale Market,National Average,All,2025-06-23
Basmati Rice,Cereals,129.25,Government Market,National Average,All,2025-06-23
Basmati Rice,Cereals,147.83,Local Market,National Average,All,2025-06-22
Basmati Rice,Cereals,119.75,Wholesale Market,National Average,All,2025-06-22
Basmati Rice,Cereals,135.44,Government Market,National Average,All,2025-06-22
Basmati Rice,Cereals,137.25,Local Market,National Average,All,2025-06-21
Basmati Rice,Cereals,112.3,Wholesale Market,National Average,All,2025-06-21
Basmati Rice,Cereals,124.35,Government Market,National Average,All,2025-06-21
Basmati Rice,Cereals,134.03,Local Market,National Average,All,2025-06-20
Basmati Rice,Cereals,110.59,Wholesale Market,National Average,All,2025-06-20
Basmati Rice,Cereals,122.38,Government Market,National Average,All,2025-06-20
Basmati Rice,Cereals,129.1,Local Market,National Average,All,2025-06-19
Basmati Rice,Cereals,106.86,Wholesale Market,National Average,All,2025-06-19
Basmati Rice,Cereals,116.5,Government Market,National Average,All,2025-06-19
Basmati Rice,Cereals,131.29,Local Market,National Average,All,2025-06-18
Basmati Rice,Cereals,106.45,Wholesale Market,National Average,All,2025-06-18
Basmati Rice,Cereals,116.91,Government Market,National Average,All,2025-06-18
Basmati Rice,Cereals,127.63,Local Market,National Average,All,2025-06-17
Basmati Rice,Cereals,105.56,Wholesale Market,National Average,All,2025-06-17
Basmati Rice,Cereals,116.01,Government Market,National Average,All,2025-06-17
Basmati Rice,Cereals,124.48,Local Market,National Average,All,2025-06-16
Basmati Rice,Cereals,103.34,Wholesale Market,National Average,All,2025-06-16
Basmati Rice,Cereals,111.98,Government Market,National Average,All,2025-06-16
Basmati Rice,Cereals,126.2,Local Market,National Average,All,2025-06-15
Basmati Rice,Cereals,101.67,Wholesale Market,National Average,All,2025-06-15
Basmati Rice,Cereals,112.81,Government Market,National Average,All,2025-06-15
Basmati Rice,Cereals,115.58,Local Market,National Average,All,2025-06-14
Basmati Rice,Cereals,93.15,Wholesale Market,National Average,All,2025-06-14
Basmati Rice,Cereals,106.56,Government Market,National Average,All,2025-06-14
Basmati Rice,Cereals,117.31,Local Market,National Average,All,2025-06-13
Basmati Rice,Cereals,96.88,Wholesale Market,National Average,All,2025-06-13
Basmati Rice,Cereals,107.27,Government Market,National Average,All,2025-06-13
Basmati Rice,Cereals,120.64,Local Market,National Average,All,2025-06-12
Basmati Rice,Cereals,98.23,Wholesale Market,National Average,All,2025-06-12
Basmati Rice,Cereals,108.58,Government Market,National Average,All,2025-06-12
Basmati Rice,Cereals,118.1,Local Market,National Average,All,2025-06-11
Basmati Rice,Cereals,94.08,Wholesale Market,National Average,All,2025-06-11
Basmati Rice,Cereals,106.0,Government Market,National Average,All,2025-06-11
Basmati Rice,Cereals,123.26,Local Market,National Average,All,2025-06-10
Basmati Rice,Cereals,100.57,Wholesale Market,National Average,All,2025-06-10
Basmati Rice,Cereals,111.79,Government Market,National Average,All,2025-06-10
Basmati Rice,Cereals,118.21,Local Market,National Average,All,2025-06-09
Basmati Rice,Cereals,95.15,Wholesale Market,National Average,All,2025-06-09
Basmati Rice,Cereals,104.51,Government Market,National Average,All,2025-06-09
Basmati Rice,Cereals,124.09,Local Market,National Average,All,2025-06-08
Basmati Rice,Cereals,101.59,Wholesale Market,National Average,All,2025-06-08
Basmati Rice,Cereals,113.88,Government Market,National Average,All,2025-06-08
Basmati Rice,Cereals,123.42,Local Market,National Average,All,2025-06-07
Basmati Rice,Cereals,100.32,Wholesale Market,National Average,All,2025-06-07
Basmati Rice,Cereals,109.99,Government Market,National Average,All,2025-06-07
Basmati Rice,Cereals,120.93,Local Market,National Average,All,2025-06-06
Basmati Rice,Cereals,102.76,Wholesale Market,National Average,All,2025-06-06
Basmati Rice,Cereals,111.33,Government Market,National Average,All,2025-06-06
Basmati Rice,Cereals,127.01,Local Market,National Average,All,2025-06-05
Basmati Rice,Cereals,103.75,Wholesale Market,National Average,All,2025-06-05
Basmati Rice,Cereals,115.9,Government Market,National Average,All,2025-06-05
Basmati Rice,Cereals,132.97,Local Market,National Average,All,2025-06-04
Basmati Rice,Cereals,108.84,Wholesale Market,National Average,All,2025-06-04
Basmati Rice,Cereals,119.52,Government Market,National Average,All,2025-06-04
Basmati Rice,Cereals,131.66,Local Market,National Average,All,2025-06-03
Basmati Rice,Cereals,106.14,Wholesale Market,National Average,All,2025-06-03
Basmati Rice,Cereals,120.45,Government Market,National Average,All,2025-06-03
Basmati Rice,Cereals,130.87,Local Market,National Average,All,2025-06-02
Basmati Rice,Cereals,107.55,Wholesale Market,National Average,All,2025-06-02
Basmati Rice,Cereals,119.36,Government Market,National Average,All,2025-06-02
Basmati Rice,Cereals,138.59,Local Market,National Average,All,2025-06-01
Basmati Rice,Cereals,110.86,Wholesale Market,National Average,All,2025-06-01
Basmati Rice,Cereals,124.41,Government Market,National Average,All,2025-06-01
Basmati Rice,Cereals,144.67,Local Market,National Average,All,2025-05-31
Basmati Rice,Cereals,117.94,Wholesale Market,National Average,All,2025-05-31
Basmati Rice,Cereals,131.93,Government Market,National Average,All,2025-05-31
Basmati Rice,Cereals,139.61,Local Market,National Average,All,2025-05-30
Basmati Rice,Cereals,113.36,Wholesale Market,National Average,All,2025-05-30
Basmati Rice,Cereals,126.96,Government Market,National Average,All,2025-05-30
Basmati Rice,Cereals,144.76,Local Market,National Average,All,2025-05-29
Basmati Rice,Cereals,118.79,Wholesale Market,National Average,All,2025-05-29
Basmati Rice,Cereals,131.45,Government Market,National Average,All,2025-05-29
Basmati Rice,Cereals,144.91,Local Market,National Average,All,2025-05-28
Basmati Rice,Cereals,116.97,Wholesale Market,National Average,All,2025-05-28
Basmati Rice,Cereals,130.09,Government Market,National Average,All,2025-05-28
Basmati Rice,Cereals,149.06,Local Market,National Average,All,2025-05-27
Basmati Rice,Cereals,123.77,Wholesale Market,National Average,All,2025-05-27
Basmati Rice,Cereals,137.99,Government Market,National Average,All,2025-05-27
Basmati Rice,Cereals,140.2,Local Market,National Average,All,2025-05-26
Basmati Rice,Cereals,114.33,Wholesale Market,National Average,All,2025-05-26
Basmati Rice,Cereals,128.08,Government Market,National Average,All,2025-05-26
Basmati Rice,Cereals,140.3,Local Market,National Average,All,2025-05-25
Basmati Rice,Cereals,114.63,Wholesale Market,National Average,All,2025-05-25
Basmati Rice,Cereals,125.55,Government Market,National Average,All,2025-05-25
Basmati Rice,Cereals,138.71,Local Market,National Average,All,2025-05-24
Basmati Rice,Cereals,113.15,Wholesale Market,National Average,All,2025-05-24
Basmati Rice,Cereals,125.94,Government Market,National Average,All,2025-05-24
Basmati Rice,Cereals,143.72,Local Market,National Average,All,2025-05-23
Basmati Rice,Cereals,116.86,Wholesale Market,National Average,All,2025-05-23
Basmati Rice,Cereals,128.78,Government Market,National Average,All,2025-05-23
Basmati Rice,Cereals,135.6,Local Market,National Average,All,2025-05-22
Basmati Rice,Cereals,110.92,Wholesale Market,National Average,All,2025-05-22
Basmati Rice,Cereals,123.34,Government Market,National Average,All,2025-05-22
Basmati Rice,Cereals,134.61,Local Market,National Average,All,2025-05-21
Basmati Rice,Cereals,110.0,Wholesale Market,National Average,All,2025-05-21
Basmati Rice,Cereals,123.13,Government Market,National Average,All,2025-05-21
Basmati Rice,Cereals,134.08,Local Market,National Average,All,2025-05-20
Basmati Rice,Cereals,112.44,Wholesale Market,National Average,All,2025-05-20
Basmati Rice,Cereals,121.68,Government Market,National Average,All,2025-05-20
Basmati Rice,Cereals,130.14,Local Market,National Average,All,2025-05-19
Basmati Rice,Cereals,104.36,Wholesale Market,National Average,All,2025-05-19
Basmati Rice,Cereals,118.2,Government Market,National Average,All,2025-05-19
Basmati Rice,Cereals,127.44,Local Market,National Average,All,2025-05-18
Basmati Rice,Cereals,104.42,Wholesale Market,National Average,All,2025-05-18
Basmati Rice,Cereals,119.62,Government Market,National Average,All,2025-05-18
Basmati Rice,Cereals,117.4,Local Market,National Average,All,2025-05-17
Basmati Rice,Cereals,95.29,Wholesale Market,National Average,All,2025-05-17
Basmati Rice,Cereals,106.17,Government Market,National Average,All,2025-05-17
Basmati Rice,Cereals,123.55,Local Market,National Average,All,2025-05-16
Basmati Rice,Cereals,99.81,Wholesale Market,National Average,All,2025-05-16
Basmati Rice,Cereals,113.72,Government Market,National Average,All,2025-05-16
Basmati Rice,Cereals,119.0,Local Market,National Average,All,2025-05-15
Basmati Rice,Cereals,98.46,Wholesale Market,National Average,All,2025-05-15
Basmati Rice,Cereals,110.61,Government Market,National Average,All,2025-05-15
Basmati Rice,Cereals,123.74,Local Market,National Average,All,2025-05-14
Basmati Rice,Cereals,99.28,Wholesale Market,National Average,All,2025-05-14
Basmati Rice,Cereals,112.14,Government Market,National Average,All,2025-05-14
Basmati Rice,Cereals,111.3,Local Market,National Average,All,2025-05-13
Basmati Rice,Cereals,92.6,Wholesale Market,National Average,All,2025-05-13
Basmati Rice,Cereals,101.43,Government Market,National Average,All,2025-05-13
Basmati Rice,Cereals,113.36,Local Market,National Average,All,2025-05-12
Basmati Rice,Cereals,95.75,Wholesale Market,National Average,All,2025-05-12
Basmati Rice,Cereals,104.74,Government Market,National Average,All,2025-05-12
Basmati Rice,Cereals,117.38,Local Market,National Average,All,2025-05-11
Basmati Rice,Cereals,97.01,Wholesale Market,National Average,All,2025-05-11
Basmati Rice,Cereals,107.7,Government Market,National Average,All,2025-05-11
Basmati Rice,Cereals,117.22,Local Market,National Average,All,2025-05-10
Basmati Rice,Cereals,95.29,Wholesale Market,National Average,All,2025-05-10
Basmati Rice,Cereals,105.89,Government Market,National Average,All,2025-05-10
Basmati Rice,Cereals,119.46,Local Market,National Average,All,2025-05-09
Basmati Rice,Cereals,100.39,Wholesale Market,National Average,All,2025-05-09
Basmati Rice,Cereals,110.06,Government Market,National Average,All,2025-05-09
Basmati Rice,Cereals,123.34,Local Market,National Average,All,2025-05-08
Basmati Rice,Cereals,102.5,Wholesale Market,National Average,All,2025-05-08
Basmati Rice,Cereals,112.02,Government Market,National Average,All,2025-05-08
Basmati Rice,Cereals,126.18,Local Market,National Average,All,2025-05-07
Basmati Rice,Cereals,103.3,Wholesale Market,National Average,All,2025-05-07
Basmati Rice,Cereals,116.62,Government Market,National Average,All,2025-05-07
Basmati Rice,Cereals,129.5,Local Market,National Average,All,2025-05-06
Basmati Rice,Cereals,104.62,Wholesale Market,National Average,All,2025-05-06
Basmati Rice,Cereals,118.43,Government Market,National Average,All,2025-05-06
Basmati Rice,Cereals,131.09,Local Market,National Average,All,2025-05-05
Basmati Rice,Cereals,106.99,Wholesale Market,National Average,All,2025-05-05
Basmati Rice,Cereals,121.87,Government Market,National Average,All,2025-05-05
Brown Rice,Cereals,94.96,Local Market,National Average,All,2025-07-03
Brown Rice,Cereals,77.31,Wholesale Market,National Average,All,2025-07-03
Brown Rice,Cereals,87.48,Government Market,National Average,All,2025-07-03
Brown Rice,Cereals,104.43,Local Market,National Average,All,2025-07-02
Brown Rice,Cereals,85.26,Wholesale Market,National Average,All,2025-07-02
Brown Rice,Cereals,94.84,Government Market,National Average,All,2025-07-02
Brown Rice,Cereals,104.68,Local Market,National Average,All,2025-07-01
Brown Rice,Cereals,86.66,Wholesale Market,National Average,All,2025-07-01
Brown Rice,Cereals,96.39,Government Market,National Average,All,2025-07-01
Brown Rice,Cereals,99.24,Local Market,National Average,All,2025-06-30
Brown Rice,Cereals,82.08,Wholesale Market,National Average,All,2025-06-30
Brown Rice,Cereals,90.95,Government Market,National Average,All,2025-06-30
Brown Rice,Cereals,106.01,Local Market,National Average,All,2025-06-29
Brown Rice,Cereals,85.91,Wholesale Market,National Average,All,2025-06-29
Brown Rice,Cereals,96.96,Government Market,National Average,All,2025-06-29
Brown Rice,Cereals,108.01,Local Market,National Average,All,2025-06-28
Brown Rice,Cereals,86.89,Wholesale Market,National Average,All,2025-06-28
Brown Rice,Cereals,96.98,Government Market,National Average,All,2025-06-28
Brown Rice,Cereals,109.19,Local Market,National Average,All,2025-06-27
Brown Rice,Cereals,89.96,Wholesale Market,National Average,All,2025-06-27
Brown Rice,Cereals,97.92,Government Market,National Average,All,2025-06-27
Brown Rice,Cereals,108.34,Local Market,National Average,All,2025-06-26
Brown Rice,Cereals,88.44,Wholesale Market,National Average,All,2025-06-26
Brown Rice,Cereals,98.79,Government Market,National Average,All,2025-06-26
Brown Rice,Cereals,108.98,Local Market,National Average,All,2025-06-25
Brown Rice,Cereals,87.9,Wholesale Market,National Average,All,2025-06-25
Brown Rice,Cereals,98.59,Government Market,National Average,All,2025-06-25
Brown Rice,Cereals,107.95,Local Market,National Average,All,2025-06-24
Brown Rice,Cereals,87.39,Wholesale Market,National Average,All,2025-06-24
Brown Rice,Cereals,96.21,Government Market,National Average,All,2025-06-24
Brown Rice,Cereals,105.38,Local Market,National Average,All,2025-06-23
Brown Rice,Cereals,86.48,Wholesale Market,National Average,All,2025-06-23
Brown Rice,Cereals,95.66,Government Market,National Average,All,2025-06-23
Brown Rice,Cereals,102.9,Local Market,National Average,All,2025-06-22
Brown Rice,Cereals,86.63,Wholesale Market,National Average,All,2025-06-22
Brown Rice,Cereals,96.33,Government Market,National Average,All,2025-06-22
Brown Rice,Cereals,109.73,Local Market,National Average,All,2025-06-21
Brown Rice,Cereals,89.28,Wholesale Market,National Average,All,2025-06-21
Brown Rice,Cereals,98.65,Government Market,National Average,All,2025-06-21
Brown Rice,Cereals,102.3,Local Market,National Average,All,2025-06-20
Brown Rice,Cereals,81.87,Wholesale Market,National Average,All,2025-06-20
Brown Rice,Cereals,93.91,Government Market,National Average,All,2025-06-20
Brown Rice,Cereals,101.32,Local Market,National Average,All,2025-06-19
Brown Rice,Cereals,82.63,Wholesale Market,National Average,All,2025-06-19
Brown Rice,Cereals,91.98,Government Market,National Average,All,2025-06-19
Brown Rice,Cereals,97.6,Local Market,National Average,All,2025-06-18
Brown Rice,Cereals,81.56,Wholesale Market,National Average,All,2025-06-18
Brown Rice,Cereals,90.35,Government Market,National Average,All,2025-06-18
Brown Rice,Cereals,94.94,Local Market,National Average,All,2025-06-17
